Segunda-feira,Escolaridade,Quantidade
2022-09-26,1,60.0
2022-09-26,2,25.857142857142858
2022-09-26,3,32.42857142857143
2022-09-26,4,11.571428571428571
2022-10-03,0,41.42857142857143
2022-10-03,1,62.0
2022-10-03,2,25.0
2022-10-03,3,26.142857142857142
2022-10-03,4,11.285714285714286
2022-10-10,0,43.0
2022-10-10,1,47.42857142857143
2022-10-10,2,24.571428571428573
2022-10-10,3,23.714285714285715
2022-10-10,4,9.0
2022-10-17,0,50.285714285714285
2022-10-17,1,51.57142857142857
2022-10-17,2,22.142857142857142
2022-10-17,3,29.142857142857142
2022-10-17,4,12.0
2022-10-24,0,46.0
2022-10-24,1,52.57142857142857
2022-10-24,2,22.142857142857142
2022-10-24,3,24.285714285714285
2022-10-24,4,9.285714285714286
2022-10-31,0,44.42857142857143
2022-10-31,1,44.142857142857146
2022-10-31,2,24.428571428571427
2022-10-31,3,25.285714285714285
2022-10-31,4,9.428571428571429
2022-11-07,0,52.857142857142854
2022-11-07,1,56.285714285714285
2022-11-07,2,33.857142857142854
2022-11-07,3,36.57142857142857
2022-11-07,4,16.428571428571427
2022-11-14,0,60.42857142857143
2022-11-14,1,80.0
2022-11-14,2,42.142857142857146
2022-11-14,3,59.42857142857143
2022-11-14,4,28.285714285714285
2022-11-21,0,65.28571428571429
2022-11-21,1,101.85714285714286
2022-11-21,2,50.285714285714285
2022-11-21,3,66.57142857142857
2022-11-21,4,29.857142857142858
2022-11-28,0,67.28571428571429
2022-11-28,1,111.14285714285714
2022-11-28,2,53.42857142857143
2022-11-28,3,68.71428571428571
2022-11-28,4,28.714285714285715
2022-12-05,0,64.71428571428571
2022-12-05,1,114.0
2022-12-05,2,50.57142857142857
2022-12-05,3,61.57142857142857
2022-12-05,4,28.142857142857142
2022-12-12,0,68.85714285714286
2022-12-12,1,111.28571428571429
2022-12-12,2,54.42857142857143
2022-12-12,3,65.57142857142857
2022-12-12,4,27.714285714285715
2022-12-19,0,57.857142857142854
2022-12-19,1,114.0
2022-12-19,2,48.857142857142854
2022-12-19,3,58.0
2022-12-19,4,23.857142857142858
2022-12-26,0,48.857142857142854
2022-12-26,1,103.28571428571429
2022-12-26,2,47.142857142857146
2022-12-26,3,55.0
2022-12-26,4,20.428571428571427
2023-01-02,0,43.57142857142857
2023-01-02,1,93.85714285714286
2023-01-02,2,41.857142857142854
2023-01-02,3,45.42857142857143
2023-01-02,4,20.142857142857142
